1, SET (SID1033,CSE016, A, 2025-04-28T19:32:27.579439)
2, GET (SID1033,CSE016, None, 2025-04-28T19:32:31.061777)
1, SET (SID1403,CSE006, A, 2025-04-28T19:32:27.552550)
2, SET (SID1033,CSE016, A, 2025-04-28T19:32:27.579439)
3, SET (SID1403,CSE006, B, 2025-04-28T19:32:27.552550)
4, SET (SID1033,CSE016, B, 2025-04-28T19:32:27.644250)
1, SET (SID1403,CSE006, A, 2025-04-28T19:32:27.552550)
2, SET (SID1403,CSE006, A, 2025-04-28T19:32:27.552550)
3, SET (SID1033,CSE016, A, 2025-04-28T19:32:27.579439)
4, SET (SID1033,CSE016, A, 2025-04-28T19:32:27.579439)
5, SET (SID1403,CSE006, B, 2025-04-28T19:32:27.552550)
6, SET (SID1403,CSE006, B, 2025-04-28T19:32:27.552550)
7, SET (SID1033,CSE016, B, 2025-04-28T19:32:27.644250)
